parentId| id|sku|title|rest|unit|price|priceVAT
000004430| 00-00002418| 503351| Коврик "Bellarossa" 80 x150 см (100% полиэстер)| 1| шт| 88,16| 105,792
000004430| 00-00002426| 503347| Коврик "Bellarossa" 80 x150 см (100% полиэстер)| 1| шт| 88,16| 105,792
000004430| 00-00002421| 503342| Коврик "Bellarossa" 53х80 см (100% полиэстер)| 10| шт| 30,8| 36,96
000004430| 00-00002434| 419131/6| Ковер, 93х150 см, ПП 100%| 39| шт| 50| 60
000004430| 00-00002433| 419131/5| Ковер, 93х150 см, ПП 100%| 40| шт| 50| 60
000004430| 00-00002432| 419131/4| Ковер, 93х150 см, ПП 100%| 37| шт| 50| 60
000004430| 00-00002431| 419131/3| Ковер, 93х150 см, ПП 100%| 14| шт| 50| 60
000004430| 00-00002430| 419131/2| Ковер, 93х150 см, ПП 100%| 3| шт| 50| 60
000004430| 00-00002429| 419131/1| Ковер, 93х150 см, ПП 100%| 132| шт| 50| 60
000004430| 00-00002225| 502702| Коврик для ванной комнаты Softy 60х100 см, серый с люрексом| 328| шт| 41,11| 49,332
000004430| 00-00002091| 502701| Коврик Softy 60х100 см (100% полиэстер), слоновая кость| 217| шт| 41,11| 49,332
000004430| 00-00002592| 468034| Коврик Rossa 160х230 см (100% полиэстер), пудрово-розовый| 47| шт| 278,52| 334,224
000004430| 00-00002591| 468033| Коврик Rossa 120х160 см (100% полиэстер), пудрово-розовый| 139| шт| 145,29| 174,348
000004430| 00-00002590| 468031| Коврик Rossa 60х120 см (100% полиэстер), пудрово-розовый| 75| шт| 54,49| 65,388
000004430| 00-00002354| 468024| Коврик "Rossa" 160х230 см (100% полиэстер), серый| 37| шт| 278,52| 334,224
000004430| 00-00002351| 468023| Коврик "Rossa" 120х160 см (100% полиэстер), серый| 108| шт| 145,29| 174,348
000004430| 00-00002347| 468022| Коврик "Rossa" 60х120 см (100% полиэстер),серый| 47| шт| 54,49| 65,388
000004430| 00-00002353| 468021| Коврик "Rossa" 160х230 см (100% полиэстер), светло-серый| 34| шт| 278,52| 334,224
000004430| 00-00002350| 468020| Коврик "Rossa" 120х160 см (100% полиэстер), светло-серый| 113| шт| 145,29| 174,348
000004430| 00-00002346| 468019| Ковер "Rossa" 60х120 см (100% полиэстер), светло-серый| 46| шт| 54,49| 65,388
000004430| 00-00002593| 468018| Коврик Rossa 160х230 см (100% полиэстер), слоновая кость| 12| шт| 278,52| 334,224
000004430| 00-00002349| 468017| Коврик "Rossa" 120х160 см (100% полиэстер), слоновая кость| 79| шт| 145,29| 174,348
000004430| 00-00002186| 468016| Ковер "Rossa" 60х120 см (100% полиэстер), слоновая кость| 82| шт| 54,49| 65,388
000004430| 00-00002352| 468015| Коврик "Rossa" 160х230 см (100% полиэстер), темно-бежевый| 37| шт| 278,52| 334,224
000004430| 00-00002348| 468014| Коврик "Rossa" 120х160 см (100% полиэстер), темно-бежевый| 83| шт| 145,29| 174,348
000004430| 00-00002345| 468013| Коврик "Rossa" 60х120 см (100% полиэстер), темно-бежевый| 36| шт| 54,49| 65,388
000004430| 00-00002425| 503346| Коврик "Bellarossa" 53х80 см (100% полиэстер)| 4| шт| 30,8| 36,96
